n,nodes
0,1
68,16
72,21
144,28
216,142
288,569
360,623
432,3135
504,2401
576,9101
648,10426
720,72862
792,1151414
864,203225
936,1165084
936,OOT
1008,12408184
1008,OOT
1080,3495253
1080,OOT
1152,17905312
1152,OOT
1224,7461864
1224,OOT
1296,16898814
1296,OOT
1368,22369621
1368,OOT
1440,OOT
1512,OOT
1584,OOT
1656,OOT
1728,OOT
1800,OOT
1872,OOT
1944,OOT
2016,OOT
2088,OOT
2160,OOT
2232,OOT
2304,OOT
2376,OOT
2448,OOT
2520,OOT
2592,OOT
2664,OOT
2736,OOT
2808,OOT
2880,OOT
2952,OOT
3024,OOT
3096,OOT
3168,OOT
3240,OOT
3312,OOT
3384,OOT
3456,OOT
3528,OOT
3600,OOT
