n,nodes
0,1
68,11
72,12
144,43
216,234
288,310
360,1236
432,1186
504,12969
576,17883
648,12979
720,35137
792,2826246
864,256334
936,2670325
1008,4201205
1080,19269760
1080,OOT
1152,18436843
1152,OOT
1224,3888555
1224,OOT
1296,27533482
1296,OOT
1368,OOT
1440,OOT
1512,OOT
1584,OOT
1656,OOT
1728,OOT
1800,OOT
1872,OOT
1944,OOT
2016,OOT
2088,OOT
2160,OOT
2232,OOT
2304,OOT
2376,OOT
2448,OOT
2520,OOT
2592,OOT
2664,OOT
2736,OOT
2808,OOT
2880,OOT
2952,OOT
3024,OOT
3096,OOT
3168,OOT
3240,OOT
3312,OOT
3384,OOT
3456,OOT
3528,OOT
3600,OOT
