n,nodes
16,14
20,6
40,4
44,9
48,8
72,30
96,54
116,63
120,341
144,414
168,609
192,341
216,1771
240,8604
264,8994
288,13492
312,67486
336,209308
360,678490
384,1621720
408,1847490
432,2816762
432,OOT
456,1398101
480,2446677
504,1398101
504,OOT
528,5592405
528,OOT
576,5592405
576,OOT
624,OOT
672,OOT
720,OOT
768,OOT
816,OOT
864,OOT
912,OOT
960,OOT
1008,OOT
1056,OOT
1104,OOT
1152,OOT
1200,OOT
1248,OOT
1296,OOT
1344,OOT
1392,OOT
1440,OOT
1488,OOT
1536,OOT
1632,OOT
1728,OOT
1824,OOT
1920,OOT
2016,OOT
2112,OOT
2208,OOT
2304,OOT
2400,OOT
2496,OOT
2592,OOT
2688,OOT
2784,OOT
2880,OOT
2976,OOT
3072,OOT
3168,OOT
3264,OOT
3360,OOT
3456,OOT
3552,OOT
3648,OOT
