n,nodes
88,242
176,992
264,8161
352,14853
440,37208
528,105080
616,228702
704,570911
792,1123841
880,5552559
968,5234625
1056,13192961
1056,OOT
1144,OOT
1232,OOT
1320,OOT
1408,OOT
1496,OOT
1584,OOT
1672,OOT
1760,OOT
1848,OOT
1936,OOT
2024,OOT
2112,OOT
2200,OOT
2288,OOT
2376,OOT
2464,OOT
2552,OOT
2640,OOT
2728,OOT
2816,OOT
2904,OOT
2992,OOT
3080,OOT
3168,OOT
3256,OOT
3344,OOT
3432,OOT
3520,OOT
3608,OOT
3696,OOT
3784,OOT
3872,OOT
3960,OOT
4048,OOT
4136,OOT
