n,nodes
64,9
128,17
192,13
256,17
320,54
384,139
448,335
512,816
576,1139
640,3506
704,4396
768,20190
832,31605
896,11997
960,22060
1024,146959
1088,87381
1152,283989
1216,51763
1280,283989
1344,212211
1344,OOM
1408,349525
1408,OOM
1472,349525
1472,OOM
1536,349525
1536,OOM
1600,349525
1600,OOM
1664,OOM
1728,OOM
1792,OOM
1856,OOM
1920,OOM
1984,OOM
2048,OOM
2112,OOM
2176,OOM
2240,OOM
2304,OOM
2368,OOM
2432,OOM
2496,OOM
2560,OOM
2624,OOM
2688,OOM
2752,OOM
2816,OOM
2880,OOM
2944,OOM
3008,OOM
3072,OOM
3136,OOM
3200,OOM
3264,OOM
3328,OOM
3392,OOM
3456,OOM
3520,OOM
3584,OOM
3648,OOM
3712,OOM
3776,OOM
3840,OOM
3904,OOM
3968,OOM
4032,OOM
