n,nodes
16,16
20,6
40,4
44,9
48,8
72,33
96,58
116,66
120,306
144,455
168,575
192,341
216,1798
240,8669
264,9247
288,12770
312,66114
336,198931
360,622471
384,1043569
408,1884026
432,7427413
456,1398101
480,2196448
504,1398101
504,OOT
528,12932445
528,OOT
576,8738139
576,OOT
624,OOT
672,OOT
720,OOT
768,OOT
816,OOT
864,OOT
912,OOT
960,OOT
1008,OOT
1056,OOT
1104,OOT
1152,OOT
1200,OOT
1248,OOT
1296,OOT
1344,OOT
1392,OOT
1440,OOT
1488,OOT
1536,OOT
1632,OOT
1728,OOT
1824,OOT
1920,OOT
2016,OOT
2112,OOT
2208,OOT
2304,OOT
2400,OOT
2496,OOT
2592,OOT
2688,OOT
2784,OOT
2880,OOT
2976,OOT
3072,OOT
3168,OOT
3264,OOT
3360,OOT
3456,OOT
3552,OOT
3648,OOT
