n,nodes
0,1
68,18
72,21
144,41
216,140
288,689
360,1665
432,4181
504,3219
576,9557
648,33762
720,195047
792,134712
792,OOM
864,228535
936,349525
936,OOM
1008,OOM
1080,OOM
1152,OOM
1224,OOM
1296,OOM
1368,OOM
1440,OOM
1512,OOM
1584,OOM
1656,OOM
1728,OOM
1800,OOM
1872,OOM
1944,OOM
2016,OOM
2088,OOM
2160,OOM
2232,OOM
2304,OOM
2376,OOM
2448,OOM
2520,OOM
2592,OOM
2664,OOM
2736,OOM
2808,OOM
2880,OOM
2952,OOM
3024,OOM
3096,OOM
3168,OOM
3240,OOM
3312,OOM
3384,OOM
3456,OOM
3528,OOM
3600,OOM
